crime_type,category,date_reported,time_reported,zone,location_name,latitude,longitude,status,severity,weapon_involved,victim_age,victim_gender,day_of_week,hour_of_day,description
Public Intoxication,Public Order,2025-11-14,23:31:32,Zone 3,Harbor Front,13.047323,80.31358,Pending,Low,0,24,Male,Friday,23,Public Intoxication reported near Central Market.
Phishing,Cybercrime,2025-11-03,23:24:38,Zone 6,Central Market,13.111373,80.215138,Solved,Medium,0,58,Other,Monday,23,Phishing reported near Railway Station Rd.
Domestic Violence,Violent Crime,2025-11-06,12:21:51,Zone 4,Central Market,13.140248,80.278159,Solved,Critical,0,40,Female,Thursday,12,Domestic Violence reported near Industrial Estate.
Assault,Violent Crime,2026-06-30,18:55:49,Zone 4,Railway Station Rd,13.051187,80.303669,Pending,High,0,64,Male,Tuesday,18,Assault reported near Greenfield Sector 7.
Hacking,Cybercrime,2025-11-14,20:32:03,Zone 6,Industrial Estate,13.065322,80.269851,Pending,Critical,0,65,Female,Friday,20,Hacking reported near Industrial Estate.
Vehicle Theft,Theft,2026-05-11,10:47:37,Zone 1,Industrial Estate,13.007004,80.333315,Solved,Low,0,42,Female,Monday,10,Vehicle Theft reported near MG Road Junction.
Online Fraud,Cybercrime,2025-08-18,14:58:44,Zone 6,Industrial Estate,13.01318,80.239486,Solved,Low,0,18,Female,Monday,14,Online Fraud reported near Harbor Front.
Public Intoxication,Public Order,2026-07-05,18:20:24,Zone 4,North Bus Depot,13.093957,80.242287,Pending,Low,0,37,Female,Sunday,18,Public Intoxication reported near Hilltop Avenue.
Identity Theft,Cybercrime,2026-01-10,04:40:54,Zone 6,Old Town Square,13.158557,80.202751,Solved,High,0,19,Female,Saturday,4,Identity Theft reported near Greenfield Sector 7.
Drug Possession,Narcotics,2025-09-23,14:17:04,Zone 4,Old Town Square,13.093329,80.27567,Solved,Low,0,48,Female,Tuesday,14,Drug Possession reported near Lakeview Colony.
Online Fraud,Cybercrime,2025-12-15,06:32:29,Zone 6,Hilltop Avenue,13.11015,80.27831,Pending,High,0,71,Male,Monday,6,Online Fraud reported near Greenfield Sector 7.
Domestic Violence,Violent Crime,2026-02-28,18:39:54,Zone 4,Industrial Estate,13.125759,80.260096,Pending,High,1,45,Male,Saturday,18,Domestic Violence reported near North Bus Depot.
Hacking,Cybercrime,2025-12-17,20:58:04,Zone 2,Riverside Park,13.104128,80.326055,Solved,Low,0,32,Other,Wednesday,20,Hacking reported near Greenfield Sector 7.
Vehicle Theft,Theft,2026-05-01,01:51:52,Zone 2,North Bus Depot,13.052386,80.268361,Under Investigation,Critical,0,26,Female,Friday,1,Vehicle Theft reported near Riverside Park.
Shoplifting,Theft,2025-08-12,07:54:02,Zone 1,Greenfield Sector 7,13.156906,80.268435,Solved,Low,1,35,Male,Tuesday,7,Shoplifting reported near Lakeview Colony.
Pickpocketing,Theft,2026-05-06,05:47:32,Zone 3,Old Town Square,13.15197,80.274213,Under Investigation,High,1,47,Male,Wednesday,5,Pickpocketing reported near North Bus Depot.
Drug Trafficking,Narcotics,2026-01-28,19:51:47,Zone 5,Old Town Square,13.121733,80.34038,Solved,Low,0,44,Female,Wednesday,19,Drug Trafficking reported near Old Town Square.
Drug Trafficking,Narcotics,2025-07-23,04:27:30,Zone 5,University Gate,13.111938,80.34483,Solved,High,1,39,Female,Wednesday,4,Drug Trafficking reported near MG Road Junction.
Drug Possession,Narcotics,2025-08-11,18:50:42,Zone 6,Harbor Front,13.041048,80.279136,Solved,Low,1,23,Other,Monday,18,Drug Possession reported near North Bus Depot.
Domestic Violence,Violent Crime,2026-03-07,05:52:48,Zone 4,Harbor Front,13.040374,80.224362,Pending,Critical,1,42,Male,Saturday,5,Domestic Violence reported near Old Town Square.
Public Intoxication,Public Order,2025-12-16,20:56:58,Zone 1,Greenfield Sector 7,13.133939,80.322604,Solved,Medium,0,62,Other,Tuesday,20,Public Intoxication reported near University Gate.
Vandalism,Public Order,2026-06-19,18:40:28,Zone 3,Central Market,13.129263,80.212475,Solved,Low,0,23,Male,Friday,18,Vandalism reported near North Bus Depot.
Domestic Violence,Violent Crime,2026-02-02,17:47:08,Zone 5,Lakeview Colony,13.044409,80.300695,Solved,Critical,1,39,Male,Monday,17,Domestic Violence reported near Lakeview Colony.
Drug Possession,Narcotics,2026-07-06,22:41:39,Zone 4,Riverside Park,13.10296,80.335795,Pending,Critical,0,19,Female,Monday,22,Drug Possession reported near Greenfield Sector 7.
Assault,Violent Crime,2026-01-09,23:07:00,Zone 4,Central Market,13.117673,80.260325,Pending,Critical,1,30,Other,Friday,23,Assault reported near North Bus Depot.
Identity Theft,Cybercrime,2025-11-04,03:54:13,Zone 2,Lakeview Colony,13.098713,80.349933,Pending,Low,0,27,Female,Tuesday,3,Identity Theft reported near Riverside Park.
Shoplifting,Theft,2026-03-17,12:15:23,Zone 1,University Gate,13.095964,80.294258,Under Investigation,Low,0,41,Other,Tuesday,12,Shoplifting reported near North Bus Depot.
Hacking,Cybercrime,2025-09-14,01:35:03,Zone 6,Greenfield Sector 7,13.011038,80.33967,Solved,Medium,0,58,Other,Sunday,1,Hacking reported near University Gate.
Shoplifting,Theft,2025-10-30,10:25:42,Zone 6,Hilltop Avenue,13.062044,80.345589,Solved,Medium,0,47,Female,Thursday,10,Shoplifting reported near Railway Station Rd.
Pickpocketing,Theft,2026-05-05,05:02:08,Zone 2,Old Town Square,13.082574,80.346439,Solved,Low,0,55,Female,Tuesday,5,Pickpocketing reported near Hilltop Avenue.
Vandalism,Public Order,2026-02-04,20:09:35,Zone 3,North Bus Depot,13.139185,80.295887,Solved,Medium,0,27,Male,Wednesday,20,Vandalism reported near Railway Station Rd.
Public Intoxication,Public Order,2025-12-05,23:59:31,Zone 3,University Gate,13.009227,80.247743,Pending,Medium,0,71,Male,Friday,23,Public Intoxication reported near Central Market.
Public Intoxication,Public Order,2026-04-15,20:52:17,Zone 3,Greenfield Sector 7,13.09282,80.296802,Solved,Low,1,27,Female,Wednesday,20,Public Intoxication reported near Central Market.
Shoplifting,Theft,2026-07-03,15:43:07,Zone 2,Central Market,13.065767,80.285154,Solved,Critical,0,45,Other,Friday,15,Shoplifting reported near Harbor Front.
Homicide,Violent Crime,2025-09-14,00:02:41,Zone 4,Greenfield Sector 7,13.102278,80.263196,Under Investigation,Critical,1,24,Male,Sunday,0,Homicide reported near MG Road Junction.
Phishing,Cybercrime,2026-06-09,22:24:05,Zone 6,Central Market,13.066517,80.219182,Under Investigation,Critical,0,17,Male,Tuesday,22,Phishing reported near Riverside Park.
Online Fraud,Cybercrime,2026-05-16,11:27:47,Zone 4,Harbor Front,13.131717,80.240316,Solved,Medium,0,22,Female,Saturday,11,Online Fraud reported near Hilltop Avenue.
Pickpocketing,Theft,2025-11-15,13:27:05,Zone 2,MG Road Junction,13.123739,80.320459,Solved,Medium,0,48,Female,Saturday,13,Pickpocketing reported near Railway Station Rd.
Online Fraud,Cybercrime,2025-11-04,15:33:05,Zone 6,Riverside Park,13.049212,80.260677,Pending,High,0,24,Other,Tuesday,15,Online Fraud reported near Old Town Square.
Shoplifting,Theft,2025-09-28,13:58:02,Zone 2,Old Town Square,13.084846,80.272404,Pending,Low,0,38,Female,Sunday,13,Shoplifting reported near Greenfield Sector 7.
Vehicle Theft,Theft,2025-08-11,07:11:53,Zone 1,Railway Station Rd,13.065573,80.204026,Pending,High,0,64,Other,Monday,7,Vehicle Theft reported near Railway Station Rd.
Online Fraud,Cybercrime,2026-03-30,01:38:16,Zone 5,Central Market,13.142159,80.207713,Solved,Medium,0,16,Male,Monday,1,Online Fraud reported near Harbor Front.
Domestic Violence,Violent Crime,2025-08-13,20:19:39,Zone 4,Old Town Square,13.132801,80.289379,Pending,High,1,21,Male,Wednesday,20,Domestic Violence reported near Riverside Park.
Vehicle Theft,Theft,2025-07-25,18:13:30,Zone 1,North Bus Depot,13.10648,80.294658,Pending,Low,0,21,Female,Friday,18,Vehicle Theft reported near Railway Station Rd.
Vehicle Theft,Theft,2026-05-18,20:47:44,Zone 2,Old Town Square,13.073943,80.268307,Solved,Low,0,52,Female,Monday,20,Vehicle Theft reported near MG Road Junction.
Trespassing,Public Order,2025-07-15,23:54:31,Zone 3,Railway Station Rd,13.120633,80.286034,Pending,Medium,0,48,Other,Tuesday,23,Trespassing reported near University Gate.
Vandalism,Public Order,2025-07-16,17:27:36,Zone 5,Railway Station Rd,13.053236,80.200862,Pending,High,0,55,Other,Wednesday,17,Vandalism reported near Industrial Estate.
Burglary,Theft,2026-02-19,12:28:14,Zone 4,University Gate,13.083922,80.284725,Under Investigation,Medium,1,58,Female,Thursday,12,Burglary reported near Riverside Park.
Public Intoxication,Public Order,2025-08-05,20:50:30,Zone 3,Harbor Front,13.130661,80.325825,Pending,Medium,0,46,Male,Tuesday,20,Public Intoxication reported near Riverside Park.
Pickpocketing,Theft,2026-05-25,21:31:19,Zone 2,Harbor Front,13.040255,80.279793,Solved,Critical,0,26,Male,Monday,21,Pickpocketing reported near Hilltop Avenue.
Hacking,Cybercrime,2026-05-18,05:35:14,Zone 1,Hilltop Avenue,13.080518,80.349686,Pending,High,0,33,Male,Monday,5,Hacking reported near University Gate.
Vehicle Theft,Theft,2025-12-03,22:48:07,Zone 5,Hilltop Avenue,13.158646,80.315764,Solved,Medium,1,18,Other,Wednesday,22,Vehicle Theft reported near Central Market.
Homicide,Violent Crime,2026-04-27,20:48:32,Zone 2,Central Market,13.082443,80.329979,Under Investigation,Medium,1,70,Male,Monday,20,Homicide reported near Railway Station Rd.
Burglary,Theft,2025-11-15,09:10:05,Zone 4,Hilltop Avenue,13.045263,80.305132,Solved,Low,0,42,Male,Saturday,9,Burglary reported near Riverside Park.
Domestic Violence,Violent Crime,2025-11-23,21:23:01,Zone 4,Industrial Estate,13.073513,80.313924,Solved,High,1,36,Female,Sunday,21,Domestic Violence reported near Riverside Park.
Assault,Violent Crime,2025-08-11,08:36:03,Zone 4,Lakeview Colony,13.159137,80.347508,Under Investigation,Critical,1,41,Other,Monday,8,Assault reported near University Gate.
Identity Theft,Cybercrime,2026-07-12,21:39:58,Zone 5,Greenfield Sector 7,13.026198,80.25533,Under Investigation,Medium,0,66,Other,Sunday,21,Identity Theft reported near Harbor Front.
Vandalism,Public Order,2026-02-12,02:21:24,Zone 4,Central Market,13.118716,80.309108,Solved,Low,1,48,Other,Thursday,2,Vandalism reported near Old Town Square.
Drug Possession,Narcotics,2026-07-05,22:34:37,Zone 5,University Gate,13.04409,80.323857,Pending,Low,0,19,Female,Sunday,22,Drug Possession reported near Old Town Square.
Phishing,Cybercrime,2026-06-21,22:28:19,Zone 6,University Gate,13.09429,80.191534,Solved,Low,0,53,Other,Sunday,22,Phishing reported near University Gate.
Drug Possession,Narcotics,2026-01-18,03:50:52,Zone 6,Industrial Estate,13.117077,80.298289,Solved,Medium,0,49,Other,Sunday,3,Drug Possession reported near North Bus Depot.
Vandalism,Public Order,2025-07-16,21:05:05,Zone 3,Hilltop Avenue,13.012651,80.332861,Solved,Medium,0,41,Other,Wednesday,21,Vandalism reported near Hilltop Avenue.
Hacking,Cybercrime,2025-08-24,23:44:59,Zone 5,Hilltop Avenue,13.154351,80.307775,Solved,Medium,0,24,Female,Sunday,23,Hacking reported near University Gate.
Assault,Violent Crime,2025-07-26,16:02:47,Zone 4,Central Market,13.027794,80.280144,Under Investigation,Critical,0,23,Female,Saturday,16,Assault reported near Greenfield Sector 7.
Vandalism,Public Order,2026-05-16,12:23:19,Zone 3,Old Town Square,13.049737,80.195176,Solved,Low,0,72,Female,Saturday,12,Vandalism reported near North Bus Depot.
Vandalism,Public Order,2026-05-14,13:55:02,Zone 2,Railway Station Rd,13.069512,80.282389,Pending,Medium,1,69,Other,Thursday,13,Vandalism reported near Greenfield Sector 7.
Drug Trafficking,Narcotics,2025-11-27,01:46:20,Zone 2,Industrial Estate,13.01699,80.290663,Under Investigation,Medium,0,50,Male,Thursday,1,Drug Trafficking reported near Harbor Front.
Burglary,Theft,2025-07-19,13:50:49,Zone 4,Greenfield Sector 7,13.115884,80.280467,Solved,Low,0,50,Other,Saturday,13,Burglary reported near MG Road Junction.
Drug Trafficking,Narcotics,2025-11-01,01:59:34,Zone 5,Greenfield Sector 7,13.031459,80.193736,Pending,Medium,0,44,Male,Saturday,1,Drug Trafficking reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-11-07,04:11:26,Zone 5,Hilltop Avenue,13.006549,80.275164,Under Investigation,Low,0,26,Female,Friday,4,Drug Possession reported near Riverside Park.
Vehicle Theft,Theft,2026-04-28,22:43:10,Zone 2,Central Market,13.012126,80.34448,Solved,Low,0,36,Male,Tuesday,22,Vehicle Theft reported near Lakeview Colony.
Vandalism,Public Order,2026-06-20,10:38:37,Zone 3,Industrial Estate,13.040539,80.272079,Solved,Medium,1,45,Other,Saturday,10,Vandalism reported near Lakeview Colony.
Pickpocketing,Theft,2025-08-26,20:01:17,Zone 1,Riverside Park,13.091352,80.284488,Pending,Low,0,35,Other,Tuesday,20,Pickpocketing reported near Lakeview Colony.
Robbery,Violent Crime,2026-05-04,18:10:50,Zone 4,Railway Station Rd,13.041926,80.343118,Solved,Critical,1,69,Other,Monday,18,Robbery reported near Old Town Square.
Vehicle Theft,Theft,2025-11-12,14:53:43,Zone 6,MG Road Junction,13.063525,80.246927,Pending,Medium,0,26,Other,Wednesday,14,Vehicle Theft reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-12-26,21:46:35,Zone 5,Harbor Front,13.162511,80.331225,Under Investigation,Low,0,37,Other,Friday,21,Drug Possession reported near Old Town Square.
Online Fraud,Cybercrime,2025-08-10,08:29:38,Zone 6,Greenfield Sector 7,13.055253,80.336943,Under Investigation,Low,0,46,Male,Sunday,8,Online Fraud reported near MG Road Junction.
Hacking,Cybercrime,2025-12-26,01:56:41,Zone 6,Railway Station Rd,13.106903,80.276884,Under Investigation,High,0,59,Male,Friday,1,Hacking reported near Industrial Estate.
Hacking,Cybercrime,2026-04-17,02:23:59,Zone 4,Harbor Front,13.033579,80.192198,Pending,Medium,0,74,Other,Friday,2,Hacking reported near Industrial Estate.
Shoplifting,Theft,2026-03-25,23:23:02,Zone 2,Harbor Front,13.047621,80.335421,Solved,Medium,0,41,Male,Wednesday,23,Shoplifting reported near Old Town Square.
Drug Possession,Narcotics,2025-10-07,18:36:43,Zone 5,Old Town Square,13.111881,80.281122,Solved,Low,0,75,Other,Tuesday,18,Drug Possession reported near North Bus Depot.
Online Fraud,Cybercrime,2025-08-03,23:44:43,Zone 5,Lakeview Colony,13.087971,80.231167,Pending,Medium,0,57,Other,Sunday,23,Online Fraud reported near Harbor Front.
Hacking,Cybercrime,2025-12-20,02:33:29,Zone 1,MG Road Junction,13.081992,80.273461,Pending,Low,0,33,Female,Saturday,2,Hacking reported near Hilltop Avenue.
Domestic Violence,Violent Crime,2026-04-07,04:36:51,Zone 4,North Bus Depot,13.00676,80.308691,Solved,Critical,1,28,Male,Tuesday,4,Domestic Violence reported near Industrial Estate.
Trespassing,Public Order,2026-05-28,16:51:01,Zone 3,North Bus Depot,13.097505,80.290908,Solved,Low,0,37,Male,Thursday,16,Trespassing reported near Industrial Estate.
Pickpocketing,Theft,2026-05-28,12:07:05,Zone 5,Riverside Park,13.158624,80.337374,Pending,Low,1,19,Female,Thursday,12,Pickpocketing reported near MG Road Junction.
Vandalism,Public Order,2026-05-25,17:18:54,Zone 3,Harbor Front,13.063733,80.206033,Pending,Medium,0,55,Male,Monday,17,Vandalism reported near Railway Station Rd.
Domestic Violence,Violent Crime,2025-09-01,06:41:43,Zone 4,Greenfield Sector 7,13.127969,80.263352,Solved,Medium,0,61,Male,Monday,6,Domestic Violence reported near Greenfield Sector 7.
Homicide,Violent Crime,2026-01-15,17:39:28,Zone 2,Hilltop Avenue,13.032448,80.212728,Pending,Low,0,57,Female,Thursday,17,Homicide reported near Old Town Square.
Robbery,Violent Crime,2025-11-17,19:18:23,Zone 5,Hilltop Avenue,13.157943,80.273529,Solved,High,0,70,Male,Monday,19,Robbery reported near Lakeview Colony.
Vandalism,Public Order,2025-08-23,20:21:12,Zone 3,Greenfield Sector 7,13.109558,80.301865,Solved,Critical,0,52,Female,Saturday,20,Vandalism reported near Greenfield Sector 7.
Vandalism,Public Order,2026-05-23,22:58:02,Zone 3,North Bus Depot,13.082049,80.337893,Pending,Medium,0,31,Female,Saturday,22,Vandalism reported near University Gate.
Vandalism,Public Order,2025-12-24,21:00:23,Zone 3,Harbor Front,13.004283,80.247962,Solved,Medium,0,53,Female,Wednesday,21,Vandalism reported near MG Road Junction.
Shoplifting,Theft,2026-04-18,19:46:11,Zone 1,Central Market,13.057071,80.279421,Under Investigation,Low,0,17,Other,Saturday,19,Shoplifting reported near Riverside Park.
Shoplifting,Theft,2026-03-30,12:23:51,Zone 4,Lakeview Colony,13.062276,80.218118,Pending,Medium,0,72,Other,Monday,12,Shoplifting reported near Central Market.
Burglary,Theft,2026-04-10,13:44:23,Zone 1,Greenfield Sector 7,13.053572,80.259426,Pending,Medium,1,28,Other,Friday,13,Burglary reported near Old Town Square.
Vehicle Theft,Theft,2025-08-28,19:54:32,Zone 2,Harbor Front,13.157641,80.332433,Pending,Low,0,55,Male,Thursday,19,Vehicle Theft reported near Riverside Park.
Drug Trafficking,Narcotics,2025-11-02,06:20:45,Zone 5,Lakeview Colony,13.062521,80.301822,Solved,Medium,0,56,Other,Sunday,6,Drug Trafficking reported near Harbor Front.
Burglary,Theft,2025-11-27,11:19:27,Zone 1,Riverside Park,13.144893,80.282119,Pending,High,0,64,Male,Thursday,11,Burglary reported near Old Town Square.
Robbery,Violent Crime,2025-09-21,17:39:21,Zone 4,Lakeview Colony,13.070876,80.265508,Solved,High,1,17,Male,Sunday,17,Robbery reported near Railway Station Rd.
Vehicle Theft,Theft,2026-01-14,09:32:32,Zone 2,Industrial Estate,13.090164,80.203205,Solved,Low,0,18,Other,Wednesday,9,Vehicle Theft reported near North Bus Depot.
Public Intoxication,Public Order,2026-03-09,20:49:43,Zone 3,University Gate,13.137972,80.221203,Under Investigation,Medium,0,63,Other,Monday,20,Public Intoxication reported near Old Town Square.
Identity Theft,Cybercrime,2025-12-21,19:48:41,Zone 1,Lakeview Colony,13.004603,80.295355,Under Investigation,Critical,0,30,Male,Sunday,19,Identity Theft reported near University Gate.
Online Fraud,Cybercrime,2025-10-24,18:48:29,Zone 6,North Bus Depot,13.118302,80.264524,Solved,High,0,43,Other,Friday,18,Online Fraud reported near Lakeview Colony.
Vehicle Theft,Theft,2026-01-06,14:08:19,Zone 2,Lakeview Colony,13.153637,80.192249,Solved,High,0,43,Other,Tuesday,14,Vehicle Theft reported near Lakeview Colony.
Identity Theft,Cybercrime,2025-09-19,13:02:59,Zone 6,Greenfield Sector 7,13.024962,80.347059,Pending,Critical,0,74,Other,Friday,13,Identity Theft reported near Greenfield Sector 7.
Domestic Violence,Violent Crime,2026-06-13,15:30:06,Zone 4,Harbor Front,13.055315,80.34461,Solved,High,0,51,Male,Saturday,15,Domestic Violence reported near MG Road Junction.
Burglary,Theft,2026-04-06,20:24:18,Zone 6,MG Road Junction,13.035643,80.237277,Solved,Medium,0,26,Female,Monday,20,Burglary reported near Lakeview Colony.
Assault,Violent Crime,2026-05-10,16:47:04,Zone 4,University Gate,13.064939,80.335274,Solved,Medium,1,58,Female,Sunday,16,Assault reported near Riverside Park.
Online Fraud,Cybercrime,2025-10-31,06:00:09,Zone 5,Industrial Estate,13.074017,80.322633,Solved,Medium,0,74,Other,Friday,6,Online Fraud reported near Railway Station Rd.
Assault,Violent Crime,2026-05-31,19:58:29,Zone 4,Riverside Park,13.058185,80.325522,Under Investigation,Critical,1,42,Male,Sunday,19,Assault reported near Riverside Park.
Public Intoxication,Public Order,2025-08-13,19:06:25,Zone 5,Hilltop Avenue,13.114483,80.197686,Under Investigation,High,0,34,Other,Wednesday,19,Public Intoxication reported near Central Market.
Domestic Violence,Violent Crime,2025-12-17,06:23:04,Zone 6,North Bus Depot,13.123563,80.271403,Solved,Critical,1,48,Male,Wednesday,6,Domestic Violence reported near Railway Station Rd.
Pickpocketing,Theft,2026-01-01,16:54:12,Zone 1,University Gate,13.066168,80.192418,Solved,Low,1,45,Female,Thursday,16,Pickpocketing reported near Railway Station Rd.
Burglary,Theft,2025-07-15,06:52:17,Zone 1,Hilltop Avenue,13.13735,80.217994,Solved,Low,0,63,Female,Tuesday,6,Burglary reported near Riverside Park.
Shoplifting,Theft,2026-04-28,10:13:45,Zone 1,Hilltop Avenue,13.008211,80.298707,Under Investigation,Low,0,57,Other,Tuesday,10,Shoplifting reported near University Gate.
Trespassing,Public Order,2026-02-08,03:00:03,Zone 6,Central Market,13.126286,80.313438,Solved,High,0,17,Female,Sunday,3,Trespassing reported near MG Road Junction.
Burglary,Theft,2025-08-02,07:56:06,Zone 1,Central Market,13.130208,80.323572,Solved,Low,0,68,Female,Saturday,7,Burglary reported near Industrial Estate.
Drug Possession,Narcotics,2025-10-11,22:07:14,Zone 5,Lakeview Colony,13.036905,80.247752,Solved,Low,0,29,Female,Saturday,22,Drug Possession reported near North Bus Depot.
Identity Theft,Cybercrime,2026-06-24,21:26:19,Zone 1,Greenfield Sector 7,13.125507,80.270632,Pending,Critical,0,26,Female,Wednesday,21,Identity Theft reported near Central Market.
Drug Trafficking,Narcotics,2025-08-03,04:40:48,Zone 5,Greenfield Sector 7,13.144135,80.241575,Solved,High,0,74,Other,Sunday,4,Drug Trafficking reported near Railway Station Rd.
Robbery,Violent Crime,2025-10-31,20:00:14,Zone 4,North Bus Depot,13.006094,80.312131,Solved,Medium,0,55,Male,Friday,20,Robbery reported near MG Road Junction.
Shoplifting,Theft,2026-04-04,10:41:02,Zone 2,Riverside Park,13.04079,80.306749,Under Investigation,Critical,0,33,Female,Saturday,10,Shoplifting reported near Harbor Front.
Pickpocketing,Theft,2025-08-19,16:14:54,Zone 1,North Bus Depot,13.11996,80.245537,Under Investigation,Low,0,67,Other,Tuesday,16,Pickpocketing reported near University Gate.
Hacking,Cybercrime,2025-10-22,04:40:00,Zone 6,Riverside Park,13.013039,80.269363,Solved,Critical,0,29,Male,Wednesday,4,Hacking reported near Central Market.
Robbery,Violent Crime,2025-10-30,16:29:19,Zone 2,Greenfield Sector 7,13.028965,80.222306,Solved,High,1,44,Other,Thursday,16,Robbery reported near North Bus Depot.
Vandalism,Public Order,2026-01-12,13:30:28,Zone 3,Railway Station Rd,13.070332,80.288203,Under Investigation,Low,0,17,Female,Monday,13,Vandalism reported near Lakeview Colony.
Online Fraud,Cybercrime,2025-10-06,06:29:19,Zone 1,Riverside Park,13.075276,80.250724,Solved,Medium,0,61,Female,Monday,6,Online Fraud reported near North Bus Depot.
Vehicle Theft,Theft,2025-11-01,12:59:26,Zone 2,Greenfield Sector 7,13.153146,80.345979,Pending,Low,0,20,Female,Saturday,12,Vehicle Theft reported near MG Road Junction.
Burglary,Theft,2026-04-07,22:49:58,Zone 1,MG Road Junction,13.122952,80.246473,Solved,Medium,0,57,Female,Tuesday,22,Burglary reported near Lakeview Colony.
Hacking,Cybercrime,2026-06-28,15:43:01,Zone 6,Harbor Front,13.114295,80.293953,Pending,Low,0,25,Female,Sunday,15,Hacking reported near North Bus Depot.
Assault,Violent Crime,2026-05-18,19:58:24,Zone 5,Lakeview Colony,13.066327,80.284486,Solved,Critical,1,26,Female,Monday,19,Assault reported near Old Town Square.
Hacking,Cybercrime,2025-09-18,17:48:56,Zone 6,Industrial Estate,13.150591,80.329807,Pending,Low,0,68,Male,Thursday,17,Hacking reported near Old Town Square.
Hacking,Cybercrime,2025-07-23,00:10:52,Zone 6,Lakeview Colony,13.081376,80.206199,Solved,High,0,57,Female,Wednesday,0,Hacking reported near University Gate.
Homicide,Violent Crime,2026-04-12,09:11:32,Zone 4,Riverside Park,13.154457,80.262806,Solved,Critical,0,67,Male,Sunday,9,Homicide reported near Old Town Square.
Assault,Violent Crime,2025-08-25,04:05:24,Zone 4,Central Market,13.022649,80.200982,Pending,Low,0,16,Male,Monday,4,Assault reported near Old Town Square.
Vehicle Theft,Theft,2026-03-29,17:24:38,Zone 1,Greenfield Sector 7,13.085912,80.344629,Pending,Low,0,43,Female,Sunday,17,Vehicle Theft reported near Industrial Estate.
Online Fraud,Cybercrime,2026-01-12,09:03:22,Zone 6,Lakeview Colony,13.142392,80.319703,Under Investigation,Low,0,62,Male,Monday,9,Online Fraud reported near MG Road Junction.
Drug Trafficking,Narcotics,2025-07-23,04:39:43,Zone 5,Industrial Estate,13.10812,80.266732,Under Investigation,Low,0,17,Other,Wednesday,4,Drug Trafficking reported near Industrial Estate.
Hacking,Cybercrime,2026-03-18,11:47:39,Zone 1,Railway Station Rd,13.129734,80.246433,Under Investigation,High,0,58,Other,Wednesday,11,Hacking reported near Central Market.
Online Fraud,Cybercrime,2025-07-17,20:56:36,Zone 6,Central Market,13.128278,80.305367,Pending,Low,0,35,Other,Thursday,20,Online Fraud reported near Hilltop Avenue.
Domestic Violence,Violent Crime,2026-05-17,19:15:15,Zone 4,University Gate,13.036563,80.31122,Solved,High,0,17,Male,Sunday,19,Domestic Violence reported near Industrial Estate.
Homicide,Violent Crime,2025-08-09,23:42:07,Zone 4,Industrial Estate,13.109176,80.338338,Pending,High,1,71,Male,Saturday,23,Homicide reported near Greenfield Sector 7.
Drug Trafficking,Narcotics,2026-01-03,18:50:35,Zone 5,Central Market,13.1573,80.260614,Solved,Low,0,21,Female,Saturday,18,Drug Trafficking reported near University Gate.
Shoplifting,Theft,2026-05-11,22:36:47,Zone 5,Industrial Estate,13.002969,80.200602,Under Investigation,Medium,0,65,Female,Monday,22,Shoplifting reported near Harbor Front.
Burglary,Theft,2026-05-22,00:54:29,Zone 2,Riverside Park,13.053248,80.321284,Pending,Low,0,54,Female,Friday,0,Burglary reported near Riverside Park.
Shoplifting,Theft,2026-02-07,23:07:17,Zone 6,University Gate,13.162196,80.303744,Pending,Medium,0,40,Male,Saturday,23,Shoplifting reported near Industrial Estate.
Robbery,Violent Crime,2025-07-23,23:49:11,Zone 2,Riverside Park,13.139785,80.307083,Under Investigation,Medium,1,17,Other,Wednesday,23,Robbery reported near Lakeview Colony.
Public Intoxication,Public Order,2026-01-18,14:33:46,Zone 3,Riverside Park,13.047986,80.30212,Solved,Low,1,36,Other,Sunday,14,Public Intoxication reported near MG Road Junction.
Online Fraud,Cybercrime,2025-09-24,10:30:18,Zone 6,Harbor Front,13.146255,80.224263,Solved,High,0,16,Female,Wednesday,10,Online Fraud reported near University Gate.
Drug Possession,Narcotics,2026-01-04,18:10:59,Zone 5,Hilltop Avenue,13.011713,80.247593,Solved,Medium,1,57,Female,Sunday,18,Drug Possession reported near Greenfield Sector 7.
Vandalism,Public Order,2026-06-29,10:31:19,Zone 4,Harbor Front,13.112777,80.343429,Pending,Medium,0,58,Male,Monday,10,Vandalism reported near Railway Station Rd.
Hacking,Cybercrime,2026-01-09,02:05:07,Zone 6,Greenfield Sector 7,13.080975,80.297707,Solved,Medium,0,52,Female,Friday,2,Hacking reported near Old Town Square.
Drug Possession,Narcotics,2025-12-31,23:44:27,Zone 6,Hilltop Avenue,13.050438,80.210738,Under Investigation,Low,0,27,Female,Wednesday,23,Drug Possession reported near University Gate.
Pickpocketing,Theft,2026-06-13,17:34:45,Zone 1,Central Market,13.133712,80.294972,Pending,Medium,0,27,Other,Saturday,17,Pickpocketing reported near University Gate.
Pickpocketing,Theft,2026-02-06,01:36:13,Zone 2,Central Market,13.107122,80.204751,Solved,Low,0,48,Female,Friday,1,Pickpocketing reported near Industrial Estate.
Drug Possession,Narcotics,2026-03-10,00:33:57,Zone 5,Hilltop Avenue,13.127948,80.296165,Pending,Low,0,74,Female,Tuesday,0,Drug Possession reported near Greenfield Sector 7.
